"시리얼, 옥수수, 그래놀라, 건조과일 ",395,4.5,5.81,3.65,84.66,35.14,3.3,390,190.89,5458,0,0
"시리얼, 쌀",390,2.1,6.65,1.68,86.99,21.72,1.9,625,169.96,6418,0,0.02
"시리얼, 코코아",407,1.9,6.08,4.34,85.78,40.91,4.6,232,222.84,5556,0,0.01
"아마란스, 노란색, 말린것",383,6.9,17.09,5.94,67.27,1.65,13.8,0,4.04,16507,0,0
"아마란스, 붉은색, 말린것",381,7.4,16.47,5.78,67.59,1.71,16.4,0,3.57,13696,0,0
"옥수수, 단옥수수, 생것",109,71.5,3.8,0.5,23.4,-,-,1,0,-,-,-
"옥수수, 단옥수수, 찐것",135,65.2,4.2,0.7,29.1,-,-,1,0,-,-,-
"옥수수, 메옥수수, 생것",178,55.3,5.34,2.06,36.26,0.31,4.9,0,5.43,5316,0,0.01
"옥수수, 메옥수수, 말린것",358,10.7,9.94,3.83,74.12,1.94,7.1,3,0.12,7956,0,0.01
"옥수수, 메옥수수, 강다옥, 말린것",361,10.7,9.82,4.46,73.68,1.32,9.4,2,0,9182,0,0.01
"옥수수, 메옥수수, 광평옥, 말린것",358,11.5,9.73,4.69,72.54,1.41,11,3,0,9300,0,0.01
"옥수수, 메옥수수, 다안옥, 말린것",356,11.4,10.25,4.28,72.49,1.54,7.6,2,1.69,9712,0,0.01
"옥수수, 메옥수수, 다평옥, 말린것",359,10.7,9.02,3.64,75.32,2.13,5.7,4,0,6618,0,0.01
"옥수수, 메옥수수, 신광옥, 말린것",354,10.9,9.79,3.06,74.78,1.7,7.1,5,0,7518,0,0.01
"옥수수, 메옥수수, 신황옥, 말린것",357,10.6,10.22,3.62,74.14,2.51,7.2,2,0,7943,0,0.01
"옥수수, 메옥수수, 안다옥, 말린것",356,10.6,10.25,3.41,74.3,2.27,6.8,3,0,6764,0,0.01
"옥수수, 메옥수수, 양안옥, 말린것",358,10.5,9.56,3.61,74.98,1.73,7.2,6,0,7638,0,0.01
"옥수수, 메옥수수, 장다옥, 말린것",357,10.5,11,3.76,73.36,2.26,4.4,2,0,8230,0,0.01
"옥수수, 메옥수수, 창다옥, 말린것",360,10.4,8.93,3.47,75.96,1.79,6.2,4,0,6683,0,0.01
